Student_ID,Fall_ISS,Spring_ISS
71117331939,2,1
71199755559,2,0
71335157937,2,2
71353935953,1,0
71519711997,1,0
71551375335,2,4
71573793353,2,3
71591591379,1,0
71731913597,5,6
71771391791,2,0
71775939739,1,0
71777715119,1,2
71779317555,1,0
71915777159,1,0
71957193557,1,0
71997157919,1,0
73159531997,3,0
73195177339,2,2
73317719737,4,5
73339175315,1,1
73375937193,3,1
73513719993,8,7
73519373173,1,0
73531793353,1,0
73551517711,1,1
73553779553,1,0
73559191979,1,0
73577177757,1,0
73597957331,1,0
73757535357,4,8
73777575353,1,1
73951519331,1,2
73955371157,1,0
75391195739,6,0
75535953311,1,0
75575717317,2,1
75595951393,1,0
75715791377,1,0
75951135131,1,0
75959557753,1,0
75959711731,1,0
75975577317,1,3
75975911395,1,1
77133597199,5,3
77197137197,2,0
77197351371,2,1
77199153195,1,2
77375317713,2,7
77533135351,1,0
77537577331,3,1
77575713193,1,1
77599539193,1,1
77713539559,3,6
77757719951,2,0
77953171993,1,0
77971917935,1,1
79159757919,1,0
79173951111,1,0
79191155393,2,1
79197593135,1,2
79337937353,1,0
79355175937,2,2
79355195533,1,1
79373713731,1,3
79515915773,1,1
79517995131,2,0
79537557579,1,1
79553175717,3,0
79579553397,1,0
79931711171,1,2
79993755551,1,0
71131591911,0,3
71131935757,0,1
71157179571,0,1
71331575397,0,1
71333779993,0,1
71357953511,0,1
71377317197,0,1
71395311731,0,2
71395591773,0,1
71397119119,0,1
71397595973,0,1
71517757135,0,1
71573319357,0,3
71753313773,0,1
71959911313,0,1
71975337957,0,1
73111139597,0,1
73111177159,0,1
73157137153,0,1
73197397913,0,1
73199157739,0,1
73379399953,0,1
73531751599,0,1
73537559351,0,1
73571739119,0,1
73573955351,0,2
73735797315,0,1
73919177397,0,1
73933719573,0,1
75133357979,0,1
75151135999,0,2
75577977719,0,5
75913137597,0,1
77117751173,0,3
77153379957,0,1
77317319399,0,1
77371919399,0,1
77379571739,0,2
77531179533,0,1
77551775753,0,4
77577753571,0,2
77593755197,0,1
77711795131,0,1
77737733795,0,1
77791151777,0,1
77797957177,0,3
77913957197,0,1
77931519577,0,1
77973511753,0,1
79195371353,0,2
79353757533,0,2
79373753315,0,2
79533595751,0,4
79579597139,0,1
79597391339,0,1
79711779759,0,1
79711951597,0,2
79755373379,0,4
79773333931,0,1
79913795933,0,4
79931739191,0,1
