Student ID,Incident Description,Incident Place,Action,Date
71519575957,Incident that happened,Classroom,WARNING,1/16/2019
75533971751,Incident that happened,School Bus,PRINCIPAL/STUDENT CONFERENCE,3/15/2019
75533971751,Incident that happened,School Bus,PARENT CONTACT / CONFERENCE,3/18/2019
75335915713,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,9/13/2018
75335915713,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,1/24/2019
71531797951,Incident that happened,Classroom,WARNING,10/3/2018
71733377959,Incident that happened,Grounds,PRINCIPAL/STUDENT CONFERENCE,5/24/2019
77375317713,Incident that happened,School Bus,PRINCIPAL/STUDENT CONFERENCE,10/8/2018
77375317713,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,11/2/2018
77375317713,Incident that happened,Halls,1 DAY ISS,12/6/2018
77375317713,Incident that happened,School Bus,PRINCIPAL/STUDENT CONFERENCE,12/5/2018
77375317713,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,12/5/2018
77375317713,Incident that happened,Classroom,1 DAY ISS,12/18/2018
77375317713,Incident that happened,School Bus,OFF OF BUS 3 DAYS,12/13/2018
77375317713,Incident that happened,Halls,3 DAYS ISS,1/18/2019
77375317713,Incident that happened,Classroom,1 DETENTION ASSIGNED,1/31/2019
77375317713,Incident that happened,Classroom,1 DAY ISS,2/4/2019
77375317713,Incident that happened,School Bus,OFF OF BUS 5 DAYS,2/1/2019
77375317713,Incident that happened,Halls,2 DAYS ISS,2/6/2019
77375317713,Incident that happened,School Bus,OFF OF BUS INDEFINATELY,2/14/2019
77375317713,Incident that happened,Halls,1 DETENTION ASSIGNED,3/6/2019
77375317713,Incident that happened,Classroom,1 DAY ISS,3/19/2019
77375317713,Incident that happened,Gym,REMOVED FROM CLASS,3/18/2019
77375317713,Incident that happened,Halls,1/2 DAY ISS,3/20/2019
77375317713,Incident that happened,Classroom,2 DAYS ISS,4/1/2019
77375317713,Incident that happened,School Bus,OFF OF BUS INDEFINATELY,4/3/2019
77375317713,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,4/4/2019
77375317713,Incident that happened,Classroom,2 DAYS ISS,5/3/2019
77375317713,Incident that happened,Halls,1 DETENTION ASSIGNED,5/13/2019
77971917935,Incident that happened,Classroom,3 DAYS ISS,9/5/2018
77971917935,Incident that happened,Classroom,1 DETENTION ASSIGNED,10/23/2018
77971917935,Incident that happened,Classroom,,
77971917935,Incident that happened,Grounds,PRINCIPAL/STUDENT CONFERENCE,12/5/2018
77971917935,Incident that happened,Office,1 DAY OSS,12/5/2018
77971917935,Incident that happened,Classroom,2 DETENTIONS ASSIGNED,4/16/2019
77971917935,Incident that happened,Grounds,3 DAYS ISS,4/22/2019
79173195757,Incident that happened,Classroom,,
79173195757,Incident that happened,Classroom,THURSDAY NIGHT DETENTION,2/7/2019
79173195757,Incident that happened,Classroom,THURSDAY NIGHT DETENTION,3/7/2019
73533973317,Incident that happened,Playground,,
79599175151,Incident that happened,Classroom,1 DETENTION ASSIGNED,5/2/2019
79599175151,Incident that happened,Halls,WARNING,5/1/2019
77797957177,Incident that happened,Cafeteria,1 DAY ISS,2/26/2019
77797957177,Incident that happened,Classroom,1 DAY ISS,3/4/2019
77797957177,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,3/6/2019
77797957177,Incident that happened,Halls,1/2 DAY ISS,3/20/2019
71597539571,Incident that happened,Classroom,WARNING,9/17/2018
71395559331,Incident that happened,Classroom,,
71395559331,Incident that happened,Classroom,,
73995937375,Incident that happened,School Bus,PRINCIPAL/STUDENT CONFERENCE,12/14/2018
73995937375,Incident that happened,School Bus,OFF OF BUS 1 DAY,1/18/2019
71751533395,Incident that happened,Classroom,RESTITUTION,10/4/2018
71751533395,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,10/31/2018
71751533395,Incident that happened,Halls,1 DETENTION ASSIGNED,11/7/2018
75977193317,Incident that happened,Grounds,1 DETENTION ASSIGNED,9/17/2018
75977193317,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,5/21/2019
71779317555,Incident that happened,School Bus,PRINCIPAL/STUDENT CONFERENCE,9/21/2018
71779317555,Incident that happened,School Bus,1/2 DAY ISS,10/24/2018
71779317555,Incident that happened,School Bus,OFF OF BUS 3 DAYS,11/2/2018
71779317555,Incident that happened,Loc/Bus,1 DETENTION ASSIGNED,11/16/2018
71779317555,Incident that happened,Classroom,RESTITUTION,4/16/2019
79151115359,Incident that happened,Classroom,PARENT CONTACT / CONFERENCE,9/11/2018
71157555999,Incident that happened,Classroom,1 DETENTION ASSIGNED,2/27/2019
71157555999,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,5/1/2019
71157555999,Incident that happened,Classroom,1 DETENTION ASSIGNED,5/14/2019
73111139597,Incident that happened,Classroom,1 DAY ISS,5/1/2019
77737733795,Incident that happened,Classroom,WARNING,3/18/2019
77737733795,Incident that happened,Classroom,1 DETENTION ASSIGNED,4/22/2019
77737733795,Incident that happened,Classroom,1 DAY ISS,5/1/2019
79555579597,Incident that happened,Playground,LUNCH DETENTION,9/26/2018
71395799173,Incident that happened,Classroom,RESTITUTION,10/17/2018
71395799173,Incident that happened,Classroom,REMOVED FROM CLASS,3/15/2019
71395799173,Incident that happened,Classroom,1 DETENTION ASSIGNED,4/24/2019
71395799173,Incident that happened,Classroom,,4/30/2019
79191155393,Incident that happened,Classroom,2 DAYS ISS,9/18/2018
79191155393,Incident that happened,Grounds,2 DAYS ISS,11/1/2018
79191155393,Incident that happened,Halls,3 DAYS ISS,1/9/2019
79957733917,Incident that happened,Cafeteria,1 DETENTION ASSIGNED,2/12/2019
73771139531,Incident that happened,Classroom,PARENT CONTACT / CONFERENCE,9/26/2018
73771139531,Incident that happened,Playground,PARENT CONTACT / CONFERENCE,9/27/2018
73771139531,Incident that happened,Playground,PARENT CONTACT / CONFERENCE,10/4/2018
79331195957,Incident that happened,Classroom,WARNING,9/4/2018
79331195957,Incident that happened,Classroom,WARNING,10/8/2018
79331195957,Incident that happened,Classroom,1 DETENTION ASSIGNED,10/10/2018
79331195957,Incident that happened,Classroom,WARNING,10/19/2018
79331195957,Incident that happened,Classroom,,
79331195957,Incident that happened,Classroom,2 DAYS OSS,11/13/2018
77791151777,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,1/24/2019
